Temperature (°C),Day_of_Week,Advertising_Spend (USD),Ice_Cream_Sold (kg)
22.5,3,190.27,19.3
34.0,7,284.03,37.0
29.6,5,296.02,35.6
27.0,1,133.18,27.2
18.1,7,486.31,27.8
18.1,2,398.81,21.9
16.2,4,472.77,19.1
32.3,1,452.67,31.3
27.0,4,319.05,30.4
29.2,6,464.84,41.7
15.4,2,89.82,13.9
34.4,2,138.19,33.3
31.6,1,70.35,27.8
19.2,2,196.4,17.4
18.6,5,224.9,25.5
18.7,2,172.11,23.0
21.1,4,422.93,25.2
25.5,4,210.54,29.3
23.6,7,176.42,19.5
20.8,4,294.21,25.0
27.2,7,113.42,29.3
17.8,4,410.99,21.6
20.8,5,83.55,23.6
22.3,7,494.1,26.8
24.1,3,397.51,26.6
30.7,6,139.42,33.4
19.0,1,52.48,20.7
25.3,4,416.96,27.0
26.8,2,368.09,26.4
15.9,4,378.05,18.8
