Year,Month,Region,Household_Members,Monthly_Household_Income_SGD,Fridge_Count,Aircon_Unit_Count,Aircon_Avg_Hours_Per_Day,Television_Count,Television_Avg_Hours_Per_Day,Computer_Count,Computer_Avg_Hours_Per_Day,Fan_Count,Fan_Avg_Hours_Per_Day,Light_Count,Light_Avg_Hours_Per_Day,Monthly_Energy_Consumption_kWh
2016,Aug,South,5,7550,1,1,7.3,3,3.3,3,2.7,3,3.7,17,1.8,1039.1
2016,Oct,North,1,6650,1,3,5.1,2,3.2,2,3.7,1,3.1,11,3.3,631.3
2016,Jun,Central,1,6900,1,0,0,3,1.9,2,3.8,1,5.7,12,3.8,283.1
2010,Jan,North,1,8000,1,2,1.6,2,2.2,1,1.3,3,1,11,3.9,111.6
2016,Nov,West,1,6350,1,0,0,3,2.5,2,2.9,3,7.1,12,5.9,301.7
2012,Mar,Central,1,8900,1,0,0,1,1.5,3,1.8,1,6.7,12,5.9,325.8
2013,Feb,East,1,7250,1,0,0,3,3.2,3,6,1,5.1,10,1.7,300.9
2016,Nov,West,1,6650,1,0,0,2,2.8,3,3,3,1.1,9,1.1,250.2
2015,Jan,North,1,3050,1,2,1.8,1,3.2,1,3.9,3,2.7,6,5.5,288
2016,Jun,Central,1,6100,1,0,0,3,2.9,2,2.5,1,6,13,1.8,273.9
2011,Mar,Central,1,5100,1,2,6.6,3,3.6,3,1.3,3,3.9,7,1,586.6
2015,Jan,East,1,1050,1,1,5.1,3,1.6,2,0.7,3,6.6,9,1.8,118
2015,Aug,North,3,6550,1,2,5.8,2,3.5,1,3.1,3,6.2,10,3.1,511.6
2015,Oct,East,1,7500,1,3,6.8,2,1.1,2,2.6,1,5.1,12,1.6,727.7
2016,Jul,North,1,6200,1,2,2.9,1,2.3,1,3.3,1,7,7,3.6,296.7
2015,Mar,South,3,3950,1,2,0.5,2,2.1,1,2.9,2,3.1,5,3.9,218.9
2010,Nov,East,1,9300,1,0,0,2,2.1,1,2.8,1,1.9,10,1.1,251.1
2013,Feb,West,1,3050,1,2,3.1,2,2.3,0,0,1,2.9,5,3.2,288.1
2016,Sep,North,1,5550,1,3,6.7,2,2.9,3,3,3,6.6,9,5.9,781.2
2016,Apr,West,1,5050,1,0,0,1,0.9,3,2.3,2,1.6,9,5.5,192.8
2015,Dec,Central,1,6700,1,0,0,3,3.2,1,1.8,2,7.8,12,5.2,283.3
2016,Jun,South,1,3000,1,0,0,1,1.9,2,1.5,2,3.6,7,1.2,192.8
2010,Nov,North,6,6850,1,5,8.2,3,3,1,1.7,3,1.8,13,5.1,1250
2016,May,West,2,1550,1,2,6,1,3.3,2,3.6,2,7,1,2.5,100.1
2012,Jun,East,2,2700,1,3,2.8,2,3.1,3,3,1,6.3,8,5.3,392.7
2012,Aug,West,1,2000,1,0,0,1,2.1,2,1.5,2,3.5,7,3.3,162.9
2012,Feb,North,1,13116,2,0,0,2,1.7,3,5.2,3,3.8,11,5.5,352.7
2010,Jun,East,1,6800,1,2,1.5,2,2.7,2,1.8,3,5.2,10,1.9,353.5
2011,Jan,West,8,10750,1,3,6.5,1,5.6,5,1.7,9,5,17,7.1,917
2016,Oct,North,1,5950,1,0,0,3,2.8,3,2.6,1,1.2,9,1.9,203
2011,Aug,West,3,3550,1,2,6.2,1,2.7,2,0.3,1,10.3,8,5.7,159.8
2013,Oct,East,6,17821,2,5,6.9,1,1.5,6,1.1,1,1.5,16,1.9,1250
2016,Nov,West,6,5700,2,2,7,3,1.2,5,3.2,3,1,11,1.1,719.6
2012,Mar,East,2,1900,1,0,0,2,2.8,3,3.1,2,3,7,2.1,203.6
2013,Mar,East,2,5150,1,0,0,2,2.1,2,3.3,3,8,8,5.8,185.1
2010,Feb,East,1,5350,1,3,5.1,3,2.9,2,3.8,2,6.9,9,5.6,595.3
2011,Nov,North,1,5800,1,1,6,3,3.8,1,3.3,2,5.3,7,6.2,821.8
2012,Aug,Central,1,1900,1,3,7.1,3,3.5,3,2.8,3,5.1,12,5.5,715.2
2013,Feb,West,7,8100,1,3,7,1,1.1,1,3.6,3,5.1,16,1.3,858.1
2015,Dec,North,2,3850,1,2,1.9,2,3.2,2,5.2,1,1.8,7,5.1,398.5
2015,Oct,East,1,8150,1,3,5.1,2,3.7,2,1.8,3,3.1,11,1.1,635.6
2016,Apr,West,3,5850,1,3,2.5,1,2.3,2,3.5,3,1.2,12,5.1,111.1
2011,Sep,East,3,3900,1,2,1.6,1,3.6,3,2.8,3,1.1,10,1.1,158.1
2016,Jul,Central,1,5950,1,0,0,3,2.5,0,0,1,8.7,9,2.1,203.1
2011,Dec,North,1,6150,1,3,5.5,3,2.3,3,1.2,1,3.1,13,1.5,711.1
2016,Jun,Central,2,1900,1,2,1,1,1.3,2,1.2,1,3.1,6,3.5,381.9
2015,Apr,East,1,6800,1,2,5.6,3,1.3,2,2.3,3,5.3,11,1.8,506.2
2012,Apr,North,1,2550,1,1,1.7,1,3.6,0,0,3,5,8,2,217.9
